Img_Label,Val
01-12 11.53.49.jpg_Top,240
01-12 11.53.49.jpg_Left,1
01-12 11.53.49.jpg_Width,64
01-12 11.53.49.jpg_Height,64
02-25 15.58.25.jpg_Top,389
02-25 15.58.25.jpg_Left,499
02-25 15.58.25.jpg_Width,52
02-25 15.58.25.jpg_Height,52
04-04 12.25.09.jpg_Top,313
04-04 12.25.09.jpg_Left,326
04-04 12.25.09.jpg_Width,64
04-04 12.25.09.jpg_Height,64
05-20 11.43.03.jpg_Top,470
05-20 11.43.03.jpg_Left,552
05-20 11.43.03.jpg_Width,99
05-20 11.43.03.jpg_Height,99
01-09 01.37.10.jpg_Top,342
01-09 01.37.10.jpg_Left,834
01-09 01.37.10.jpg_Width,56
01-09 01.37.10.jpg_Height,56
08-29 18.04.49.jpg_Top,449
08-29 18.04.49.jpg_Left,388
08-29 18.04.49.jpg_Width,31
08-29 18.04.49.jpg_Height,31
08-10 17.07.24.jpg_Top,368
08-10 17.07.24.jpg_Left,390
08-10 17.07.24.jpg_Width,27
08-10 17.07.24.jpg_Height,27
08-10 18.26.21.jpg_Top,360.0
08-10 18.26.21.jpg_Left,640.0
08-10 18.26.21.jpg_Width,50
08-10 18.26.21.jpg_Height,50
08-20 12.05.21.jpg_Top,356
08-20 12.05.21.jpg_Left,997
08-20 12.05.21.jpg_Width,78
08-20 12.05.21.jpg_Height,78
01-16 04.07.18.jpg_Top,184
01-16 04.07.18.jpg_Left,1
01-16 04.07.18.jpg_Width,81
01-16 04.07.18.jpg_Height,81
05-19 15.49.29.jpg_Top,442
05-19 15.49.29.jpg_Left,280
05-19 15.49.29.jpg_Width,74
05-19 15.49.29.jpg_Height,74
05-09 09.23.54.jpg_Top,540.0
05-09 09.23.54.jpg_Left,960.0
05-09 09.23.54.jpg_Width,50
05-09 09.23.54.jpg_Height,50
08-22 10.22.56.jpg_Top,444
08-22 10.22.56.jpg_Left,880
08-22 10.22.56.jpg_Width,40
08-22 10.22.56.jpg_Height,40
08-13 16.27.30.jpg_Top,389
08-13 16.27.30.jpg_Left,324
08-13 16.27.30.jpg_Width,31
08-13 16.27.30.jpg_Height,31
01-20 01.05.58.jpg_Top,300
01-20 01.05.58.jpg_Left,249
01-20 01.05.58.jpg_Width,47
01-20 01.05.58.jpg_Height,47
01-22 12.17.24.jpg_Top,360.0
01-22 12.17.24.jpg_Left,640.0
01-22 12.17.24.jpg_Width,50
01-22 12.17.24.jpg_Height,50
05-20 13.04.22.jpg_Top,437
05-20 13.04.22.jpg_Left,378
05-20 13.04.22.jpg_Width,86
05-20 13.04.22.jpg_Height,86
08-22 11.07.40.jpg_Top,442
