Img_Label,Val
01-12 11.53.49.jpg_Top,240
01-12 11.53.49.jpg_Left,1
01-12 11.53.49.jpg_Width,64
01-12 11.53.49.jpg_Height,64
02-25 15.58.25.jpg_Top,397
02-25 15.58.25.jpg_Left,504
02-25 15.58.25.jpg_Width,38
02-25 15.58.25.jpg_Height,38
04-04 12.25.09.jpg_Top,319
04-04 12.25.09.jpg_Left,332
04-04 12.25.09.jpg_Width,53
04-04 12.25.09.jpg_Height,53
05-20 11.43.03.jpg_Top,476
05-20 11.43.03.jpg_Left,554
05-20 11.43.03.jpg_Width,90
05-20 11.43.03.jpg_Height,90
01-09 01.37.10.jpg_Top,351
01-09 01.37.10.jpg_Left,840
01-09 01.37.10.jpg_Width,35
01-09 01.37.10.jpg_Height,35
08-29 18.04.49.jpg_Top,452
08-29 18.04.49.jpg_Left,390
08-29 18.04.49.jpg_Width,26
08-29 18.04.49.jpg_Height,26
08-10 17.07.24.jpg_Top,369
08-10 17.07.24.jpg_Left,391
08-10 17.07.24.jpg_Width,26
08-10 17.07.24.jpg_Height,26
08-10 18.26.21.jpg_Top,318
08-10 18.26.21.jpg_Left,824
08-10 18.26.21.jpg_Width,38
08-10 18.26.21.jpg_Height,38
08-20 12.05.21.jpg_Top,358
08-20 12.05.21.jpg_Left,1000
08-20 12.05.21.jpg_Width,74
08-20 12.05.21.jpg_Height,74
01-16 04.07.18.jpg_Top,189
01-16 04.07.18.jpg_Left,1
01-16 04.07.18.jpg_Width,72
01-16 04.07.18.jpg_Height,72
05-19 15.49.29.jpg_Top,582
05-19 15.49.29.jpg_Left,520
05-19 15.49.29.jpg_Width,60
05-19 15.49.29.jpg_Height,60
05-09 09.23.54.jpg_Top,534
05-09 09.23.54.jpg_Left,283
05-09 09.23.54.jpg_Width,100
05-09 09.23.54.jpg_Height,100
08-22 10.22.56.jpg_Top,446
08-22 10.22.56.jpg_Left,884
08-22 10.22.56.jpg_Width,35
08-22 10.22.56.jpg_Height,35
08-13 16.27.30.jpg_Top,389
08-13 16.27.30.jpg_Left,324
08-13 16.27.30.jpg_Width,31
08-13 16.27.30.jpg_Height,31
01-20 01.05.58.jpg_Top,305
01-20 01.05.58.jpg_Left,253
01-20 01.05.58.jpg_Width,37
01-20 01.05.58.jpg_Height,37
01-22 12.17.24.jpg_Top,326
01-22 12.17.24.jpg_Left,347
01-22 12.17.24.jpg_Width,30
01-22 12.17.24.jpg_Height,30
05-20 13.04.22.jpg_Top,437
05-20 13.04.22.jpg_Left,378
05-20 13.04.22.jpg_Width,86
05-20 13.04.22.jpg_Height,86
08-22 11.07.40.jpg_Top,449
08-22 11.07.40.jpg_Left,376
