Img_Label,Val
03-15 03.36.02.jpg_Top,243
03-15 03.36.02.jpg_Left,190
03-15 03.36.02.jpg_Width,54
03-15 03.36.02.jpg_Height,54
05-08 11.13.32.jpg_Top,453
05-08 11.13.32.jpg_Left,1582
05-08 11.13.32.jpg_Width,67
05-08 11.13.32.jpg_Height,67
01-16 04.07.18.jpg_Top,191
01-16 04.07.18.jpg_Left,1
01-16 04.07.18.jpg_Width,66
01-16 04.07.18.jpg_Height,66
05-02 12.28.36.jpg_Top,631
05-02 12.28.36.jpg_Left,1283
05-02 12.28.36.jpg_Width,90
05-02 12.28.36.jpg_Height,90
05-19 15.49.29.jpg_Top,450
05-19 15.49.29.jpg_Left,284
05-19 15.49.29.jpg_Width,64
05-19 15.49.29.jpg_Height,64
08-13 16.27.30.jpg_Top,391
08-13 16.27.30.jpg_Left,327
08-13 16.27.30.jpg_Width,27
08-13 16.27.30.jpg_Height,27
01-20 01.32.29.jpg_Top,320
01-20 01.32.29.jpg_Left,317
01-20 01.32.29.jpg_Width,30
01-20 01.32.29.jpg_Height,30
04-04 12.39.12.jpg_Top,352
04-04 12.39.12.jpg_Left,392
04-04 12.39.12.jpg_Width,37
04-04 12.39.12.jpg_Height,37
06-07 14.16.26.jpg_Top,864
06-07 14.16.26.jpg_Left,950
06-07 14.16.26.jpg_Width,66
06-07 14.16.26.jpg_Height,66
01-22 01.19.57.jpg_Top,300
01-22 01.19.57.jpg_Left,273
01-22 01.19.57.jpg_Width,50
01-22 01.19.57.jpg_Height,50
03-10 01.33.38.jpg_Top,308
03-10 01.33.38.jpg_Left,332
03-10 01.33.38.jpg_Width,64
03-10 01.33.38.jpg_Height,64
02-25 13.32.19.jpg_Top,243
02-25 13.32.19.jpg_Left,1573
02-25 13.32.19.jpg_Width,190
02-25 13.32.19.jpg_Height,190
08-10 18.26.21.jpg_Top,382
08-10 18.26.21.jpg_Left,424
08-10 18.26.21.jpg_Width,29
08-10 18.26.21.jpg_Height,29
02-19 01.38.35.jpg_Top,323
02-19 01.38.35.jpg_Left,333
02-19 01.38.35.jpg_Width,29
02-19 01.38.35.jpg_Height,29
03-06 03.53.39.jpg_Top,264
03-06 03.53.39.jpg_Left,434
03-06 03.53.39.jpg_Width,62
03-06 03.53.39.jpg_Height,62
01-05 10.17.13.jpg_Top,328
01-05 10.17.13.jpg_Left,604
01-05 10.17.13.jpg_Width,32
01-05 10.17.13.jpg_Height,32
01-22 10.32.16.jpg_Top,355
01-22 10.32.16.jpg_Left,360
01-22 10.32.16.jpg_Width,26
01-22 10.32.16.jpg_Height,26
08-26 17.53.37.jpg_Top,360
08-26 17.53.37.jpg_Left,52
08-26 17.53.37.jpg_Width,57
08-26 17.53.37.jpg_Height,57
02-19 01.39.03.jpg_Top,180
02-19 01.39.03.jpg_Left,215
02-19 01.39.03.jpg_Width,122
02-19 01.39.03.jpg_Height,122
08-23 15.53.37.jpg_Top,355
08-23 15.53.37.jpg_Left,912
08-23 15.53.37.jpg_Width,34
08-23 15.53.37.jpg_Height,34
02-25 13.28.11.jpg_Top,374
02-25 13.28.11.jpg_Left,1170
02-25 13.28.11.jpg_Width,44
02-25 13.28.11.jpg_Height,44
08-12 10.02.54.jpg_Top,250
08-12 10.02.54.jpg_Left,9
08-12 10.02.54.jpg_Width,56
08-12 10.02.54.jpg_Height,56
03-06 01.26.48.jpg_Top,342
03-06 01.26.48.jpg_Left,1121
03-06 01.26.48.jpg_Width,81
03-06 01.26.48.jpg_Height,81
04-17 01.46.06.jpg_Top,604
04-17 01.46.06.jpg_Left,723
04-17 01.46.06.jpg_Width,62
04-17 01.46.06.jpg_Height,62
06-11 14.07.34.jpg_Top,513
06-11 14.07.34.jpg_Left,1507
06-11 14.07.34.jpg_Width,86
06-11 14.07.34.jpg_Height,86
03-01 10.01.10.jpg_Top,311
03-01 10.01.10.jpg_Left,801
03-01 10.01.10.jpg_Width,68
03-01 10.01.10.jpg_Height,68
03-17 12.30.12.jpg_Top,488
